,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance
12,express,4.17.1,"Fast, unopinionated, minimalist web framework","['express', 'framework', 'sinatra', 'web', 'rest', 'restful', 'router', 'app', 'api']","{'accepts': '~1.3.7', 'array-flatten': '1.1.1', 'body-parser': '1.19.0', 'content-disposition': '0.5.3', 'content-type': '~1.0.4', 'cookie': '0.4.0', 'cookie-signature': '1.0.6', 'debug': '2.6.9', 'depd': '~1.1.2', 'encodeurl': '~1.0.2', 'escape-html': '~1.0.3', 'etag': '~1.8.1', 'finalhandler': '~1.1.2', 'fresh': '0.5.2', 'merge-descriptors': '1.0.1', 'methods': '~1.1.2', 'on-finished': '~2.3.0', 'parseurl': '~1.3.3', 'path-to-regexp': '0.1.7', 'proxy-addr': '~2.0.5', 'qs': '6.7.0', 'range-parser': '~1.2.1', 'safe-buffer': '5.1.2', 'send': '0.17.1', 'serve-static': '1.14.1', 'setprototypeof': '1.1.1', 'statuses': '~1.5.0', 'type-is': '~1.6.18', 'utils-merge': '1.0.1', 'vary': '~1.1.2'}","{'after': '0.8.2', 'connect-redis': '3.4.1', 'cookie-parser': '~1.4.4', 'cookie-session': '1.3.3', 'ejs': '2.6.1', 'eslint': '2.13.1', 'express-session': '1.16.1', 'hbs': '4.0.4', 'istanbul': '0.4.5', 'marked': '0.6.2', 'method-override': '3.0.0', 'mocha': '5.2.0', 'morgan': '1.9.1', 'multiparty': '4.2.1', 'pbkdf2-password': '1.2.1', 'should': '13.2.3', 'supertest': '3.3.0', 'vhost': '~3.0.2'}",65750,67021014.333333336,133868.55743911723,40080,0.8835856646254401,0.9490644678667313,0.562920307306761
13,accepts,1.3.7,Higher-level content negotiation,"['content', 'negotiation', 'accept', 'accepts']","{'mime-types': '~2.1.24', 'negotiator': '0.6.2'}","{'deep-equal': '1.0.1', 'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",278,66765313.333333336,128921.62267884333,550,0.8999999999999999,0.6043446095643724,0.999894531306083
14,mime-types,2.1.30,The ultimate javascript content-type utility.,"['mime', 'types']",{'mime-db': '1.47.0'},"{'eslint': '7.23.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '2.0.0', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.3.1', 'eslint-plugin-standard': '4.1.0', 'mocha': '8.3.2', 'nyc': '15.1.0'}",1041,139978975.0,371683.7631659056,2426,0.8999999999999999,0.7309786705832009,0.9999045475247557
15,mime-db,1.47.0,Media Type Database,"['mime', 'db', 'type', 'types', 'database', 'charset', 'charsets']",,"{'bluebird': '3.7.2', 'co': '4.6.0', 'cogent': '1.0.1', 'csv-parse': '4.15.3', 'eslint': '7.23.0', 'eslint-config-standard': '15.0.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '2.0.0', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.3.1', 'eslint-plugin-standard': '4.1.0', 'gnode': '0.1.2', 'mocha': '8.3.2', 'nyc': '15.1.0', 'raw-body': '2.4.1', 'stream-to-array': '2.3.0'}",889,157770406.66666666,535796.891933029,299,0.8999999999999999,0.651142562435222,0.8766096954772437
16,negotiator,0.6.2,HTTP content negotiation,"['http', 'content negotiation', 'accept', 'accept-language', 'accept-encoding', 'accept-charset']",,"{'eslint': '5.16.0', 'eslint-plugin-markdown': '1.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",269,66079665.333333336,127146.35781963472,245,0.9174246488689691,0.5766599152368432,0.19210109066143594
17,array-flatten,3.0.0,Flatten nested arrays,"['array', 'flatten', 'arguments', 'depth', 'fast', 'for']",,"{'@size-limit/preset-small-lib': '^2.2.1', '@types/jest': '^24.0.23', '@types/node': '^12.12.11', 'benchmarked': '^2.0.0', 'husky': '^3.1.0', 'jest': '^24.9.0', 'lint-staged': '^9.4.3', 'prettier': '^1.19.1', 'ts-expect': '^1.1.0', 'ts-jest': '^24.1.0', 'tslint': '^5.20.1', 'tslint-config-prettier': '^1.18.0', 'tslint-config-standard': '^9.0.0', 'typescript': '^3.7.2'}",115,93046030.66666667,246607.88489345508,353,0.989472659492533,0.5882647587453123,0.999894531306083
18,body-parser,1.19.0,Node.js body parsing middleware,,"{'bytes': '3.1.0', 'content-type': '~1.0.4', 'debug': '2.6.9', 'depd': '~1.1.2', 'http-errors': '1.7.2', 'iconv-lite': '0.4.24', 'on-finished': '~2.3.0', 'qs': '6.7.0', 'raw-body': '2.4.0', 'type-is': '~1.6.17'}","{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'methods': '1.1.2', 'mocha': '6.1.4', 'safe-buffer': '5.1.2', 'supertest': '4.0.2'}",6072,67370602.66666667,147402.33481735166,14184,0.9391886619452264,0.8409345256508446,0.44357205887946133
19,bytes,3.1.0,Utility to parse a string bytes to bytes and vice-versa,"['byte', 'bytes', 'utility', 'parse', 'parser', 'convert', 'converter']",,"{'eslint': '5.12.1', 'mocha': '5.2.0', 'nyc': '13.1.0'}",472,116073687.33333333,329356.7796803651,814,0.8999999999999999,0.6587935329703707,0.999894531306083
20,content-type,1.0.4,Create and parse HTTP Content-Type header,"['content-type', 'http', 'req', 'res', 'rfc7231']",,"{'eslint': '3.19.0', 'eslint-config-standard': '10.2.1', 'eslint-plugin-import': '2.7.0', 'eslint-plugin-node': '5.1.1', 'eslint-plugin-promise': '3.5.0', 'eslint-plugin-standard': '3.0.1', 'istanbul': '0.4.5', 'mocha': '~1.21.5'}",148,59947838.666666664,146891.67538051744,635,0.9995248552319843,0.5941193353145413,0.999894531306083
21,debug,4.3.1,small debugging utility,"['debug', 'log', 'debugger']",{'ms': '2.1.2'},"{'brfs': '^2.0.1', 'browserify': '^16.2.3', 'coveralls': '^3.0.2', 'istanbul': '^0.4.5', 'karma': '^3.1.4', 'karma-browserify': '^6.0.0', 'karma-chrome-launcher': '^2.2.0', 'karma-mocha': '^1.3.0', 'mocha': '^5.2.0', 'mocha-lcov-reporter': '^1.2.0', 'xo': '^0.23.0'}",11146,397907693.3333333,1312313.881259513,29508,0.8176883930011646,0.9204994668720634,0.6560319863995477
